Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,1.63,1.76,1.76,25.93,0.0,0.0,107.08,133.0,133.0,133.43
0.05,1.91,1.76,1.76,25.9,0.03,0.01,107.11,133.0,133.0,133.43
0.1,2.1,1.76,1.76,25.88,0.05,0.03,107.13,133.0,133.0,133.43
0.15,2.19,1.77,1.76,25.85,0.08,0.04,107.16,133.0,133.0,133.43
0.2,2.21,1.77,1.77,25.82,0.11,0.06,107.19,133.0,133.0,133.43
0.25,2.18,1.78,1.77,25.79,0.14,0.07,107.22,133.01,133.01,133.43
0.3,1.87,1.79,1.77,25.77,0.17,0.09,107.25,133.01,133.01,133.43
0.35,1.59,1.8,1.77,25.75,0.2,0.1,107.28,133.01,133.02,133.43
0.4,1.31,1.82,1.78,25.73,0.22,0.12,107.29,133.01,133.02,133.43
0.45,1.39,1.85,1.79,25.72,0.23,0.14,107.31,133.01,133.03,133.43
0.5,1.54,1.89,1.8,25.71,0.25,0.15,107.33,133.01,133.04,133.43
0.55,1.87,1.93,1.82,25.7,0.28,0.17,107.36,133.01,133.05,133.43
0.6000000000000001,2.2,1.98,1.84,25.68,0.31,0.19,107.39,133.01,133.06,133.43
0.65,2.55,2.03,1.86,25.66,0.34,0.21,107.42,133.01,133.08,133.43
0.7000000000000001,2.73,2.1,1.9,25.64,0.38,0.23,107.46,133.01,133.09,133.43
0.75,2.79,2.17,1.94,25.62,0.42,0.26,107.5,133.02,133.11,133.43
0.8,2.83,2.24,1.98,25.6,0.46,0.28,107.54,133.02,133.13,133.43
0.8500000000000001,2.89,2.33,2.03,25.58,0.5,0.31,107.57,133.02,133.15,133.43
0.9,2.96,2.42,2.09,25.56,0.54,0.33,107.61,133.02,133.17,133.43
0.95,3.07,2.51,2.16,25.55,0.58,0.36,107.66,133.02,133.2,133.43
1.0,3.22,2.61,2.23,25.53,0.62,0.39,107.7,133.03,133.23,133.43
1.05,3.39,2.72,2.31,25.51,0.67,0.43,107.75,133.03,133.25,133.43
1.1,3.57,2.83,2.4,25.49,0.72,0.46,107.8,133.03,133.28,133.43
1.15,3.76,2.94,2.49,25.47,0.77,0.5,107.85,133.03,133.32,133.43
1.2000000000000002,3.92,3.06,2.58,25.46,0.82,0.53,107.9,133.04,133.35,133.43
1.25,4.07,3.18,2.69,25.44,0.88,0.57,107.96,133.04,133.39,133.43
1.3,4.19,3.31,2.79,25.42,0.93,0.61,108.01,133.04,133.43,133.43
1.35,4.3,3.44,2.9,25.4,0.99,0.66,108.07,133.05,133.47,133.43
1.4,4.41,3.57,3.02,25.38,1.05,0.7,108.13,133.05,133.51,133.43
1.4500000000000002,4.52,3.58,3.12,25.37,1.12,0.75,108.19,133.05,133.56,133.43
1.5,4.63,3.39,3.2,25.35,1.18,0.8,108.26,133.06,133.6,133.43
1.55,4.76,3.85,3.32,25.33,1.25,0.85,108.32,133.06,133.65,133.43
1.6,4.9,3.66,3.4,25.32,1.31,0.9,108.39,133.06,133.7,133.43
1.65,5.05,4.14,3.52,25.3,1.38,0.96,108.46,133.07,133.76,133.43
1.7000000000000002,5.2,3.92,3.6,25.29,1.45,1.01,108.53,133.07,133.81,133.43
1.75,5.34,4.44,3.73,25.27,1.53,1.07,108.6,133.08,133.87,133.43
1.8,5.48,4.21,3.82,25.25,1.6,1.13,108.68,133.08,133.93,133.43
1.85,5.59,4.74,3.95,25.24,1.68,1.19,108.76,133.09,134.0,133.43
1.9,5.69,4.49,4.04,25.23,1.76,1.26,108.83,133.09,134.06,133.43
1.95,5.81,5.05,4.19,25.22,1.84,1.33,108.92,133.1,134.13,133.43
2.0,5.95,4.78,4.33,25.2,1.92,1.39,109.0,133.1,134.2,133.43
2.0500000000000003,6.09,5.35,4.48,25.19,2.0,1.47,109.08,133.11,134.27,133.43
2.1,6.24,5.07,4.62,25.18,2.09,1.54,109.17,133.11,134.34,133.43
2.15,6.39,5.66,4.77,25.17,2.18,1.61,109.25,133.12,134.42,133.43
2.2,6.54,5.36,4.91,25.15,2.27,1.69,109.34,133.12,134.49,133.43
2.25,6.68,5.96,5.07,25.14,2.36,1.77,109.43,133.13,134.57,133.43
2.3000000000000003,6.81,5.66,5.21,25.13,2.45,1.85,109.53,133.13,134.65,133.43
2.35,6.95,6.27,5.37,25.12,2.55,1.94,109.62,133.14,134.74,133.43
2.4000000000000004,7.08,5.96,5.51,25.1,2.65,2.02,109.72,133.15,134.82,133.43
2.45,7.21,6.58,5.67,25.09,2.74,2.11,109.82,133.15,134.91,133.43
2.5,7.34,6.26,5.81,25.08,2.85,2.2,109.92,133.16,135.0,133.43
2.5500000000000003,7.48,6.89,5.97,25.07,2.95,2.29,110.02,133.17,135.1,133.43
2.6,7.62,6.57,6.12,25.06,3.05,2.39,110.13,133.17,135.19,133.43
2.6500000000000004,7.76,7.2,6.27,25.05,3.16,2.49,110.24,133.18,135.29,133.43
2.7,7.9,6.88,6.42,25.04,3.27,2.58,110.35,133.19,135.38,133.43
2.75,8.05,7.51,6.58,25.03,3.38,2.69,110.46,133.19,135.49,133.43
2.8000000000000003,8.19,7.19,6.73,25.02,3.49,2.79,110.57,133.2,135.59,133.43
2.85,8.33,7.82,6.89,25.01,3.61,2.89,110.68,133.21,135.69,133.43
2.9000000000000004,8.46,7.49,7.04,25.0,3.73,3.0,110.8,133.22,135.8,133.43
2.95,8.58,8.13,7.19,24.99,3.84,3.11,110.92,133.22,135.91,133.43
3.0,8.71,7.8,7.35,24.98,3.96,3.22,111.04,133.23,136.02,133.43
3.0500000000000003,8.84,8.44,7.5,24.98,4.09,3.34,111.16,133.24,136.14,133.43
3.1,8.97,8.11,7.66,24.97,4.21,3.45,111.28,133.25,136.25,133.43
3.1500000000000004,9.1,8.75,7.81,24.96,4.34,3.57,111.41,133.26,136.37,133.43
3.2,9.26,8.42,7.97,24.95,4.46,3.69,111.54,133.26,136.49,133.43
3.25,9.43,9.05,8.12,24.95,4.59,3.81,111.67,133.27,136.61,133.43
3.3000000000000003,9.61,8.74,8.28,24.94,4.73,3.94,111.8,133.28,136.74,133.43
3.35,9.79,9.36,8.43,24.93,4.86,4.06,111.93,133.29,136.87,133.43
3.4000000000000004,9.95,9.05,8.59,24.92,5.0,4.19,112.07,133.3,136.99,133.43
3.45,10.1,9.67,8.74,24.92,5.14,4.32,112.21,133.3,137.12,133.43
3.5,10.25,9.36,8.9,24.91,5.28,4.46,112.35,133.31,137.26,133.43
3.5500000000000003,10.38,9.98,9.05,24.9,5.42,4.59,112.49,133.32,137.39,133.43
3.6,10.5,9.67,9.2,24.89,5.57,4.73,112.64,133.33,137.53,133.43
3.65,10.61,10.28,9.36,24.89,5.72,4.87,112.79,133.34,137.67,133.43
3.7,10.74,9.98,9.51,24.88,5.86,5.01,112.93,133.35,137.81,133.43
3.75,10.89,10.59,9.67,24.87,6.01,5.16,113.08,133.35,137.96,133.43
3.8,11.05,10.29,9.82,24.87,6.17,5.3,113.24,133.36,138.1,133.43
3.85,11.23,10.9,9.98,24.86,6.32,5.45,113.39,133.37,138.25,133.43
3.9,11.4,10.61,10.13,24.85,6.48,5.6,113.55,133.38,138.4,133.43
3.95,11.57,11.21,10.29,24.85,6.64,5.75,113.71,133.39,138.55,133.43
4.0,11.73,10.92,10.44,24.84,6.8,5.91,113.87,133.4,138.71,133.43
4.05,11.88,11.52,10.6,24.83,6.96,6.07,114.03,133.4,138.87,133.43
4.1000000000000005,12.03,11.24,10.75,24.82,7.13,6.22,114.2,133.41,139.02,133.43
4.15,12.16,11.84,10.91,24.82,7.3,6.39,114.37,133.42,139.19,133.43
4.2,12.29,11.56,11.07,24.81,7.47,6.55,114.54,133.43,139.35,133.43
4.25,12.42,12.15,11.22,24.81,7.64,6.72,114.71,133.43,139.52,133.43
4.3,12.56,11.88,11.38,24.8,7.81,6.88,114.88,133.44,139.68,133.43
4.3500000000000005,12.71,12.46,11.54,24.8,7.99,7.05,115.06,133.45,139.85,133.43
4.4,12.86,12.2,11.7,24.79,8.17,7.22,115.24,133.46,140.02,133.43
4.45,13.01,12.77,11.86,24.79,8.35,7.4,115.42,133.46,140.2,133.43
4.5,13.14,12.51,12.01,24.78,8.53,7.58,115.6,133.47,140.38,133.43
4.55,13.29,13.08,12.17,24.78,8.71,7.76,115.78,133.48,140.56,133.43
4.6000000000000005,13.46,12.82,12.33,24.77,8.9,7.93,115.97,133.48,140.74,133.43
4.65,13.63,13.39,12.48,24.77,9.09,8.12,116.15,133.49,140.92,133.43
4.7,13.8,13.13,12.64,24.76,9.28,8.3,116.35,133.5,141.1,133.43
4.75,13.97,13.69,12.79,24.76,9.47,8.49,116.54,133.5,141.29,133.43
4.800000000000001,14.13,13.44,12.95,24.75,9.67,8.68,116.73,133.51,141.48,133.43
4.8500000000000005,14.27,13.99,13.1,24.74,9.87,8.87,116.93,133.51,141.67,133.43
4.9,14.36,13.75,13.26,24.74,10.06,9.07,117.13,133.52,141.87,133.43
4.95,14.39,14.29,13.41,24.73,10.26,9.26,117.33,133.52,142.06,133.43
5.0,14.42,14.05,13.56,24.73,10.46,9.46,117.53,133.53,142.26,133.43
5.050000000000001,14.46,14.6,13.72,24.73,10.66,9.66,117.73,133.54,142.46,133.43
5.1000000000000005,14.55,14.36,13.87,24.73,10.87,9.86,117.93,133.54,142.66,133.43
5.15,14.67,14.9,14.02,24.73,11.07,10.07,118.13,133.54,142.87,133.43
