Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,1.63,1.76,1.76,25.93,0.0,0.0,107.08,133.0,133.0,133.43,0.45,0.49,,,,,,,,,0.02
0.05,1.91,1.76,1.76,25.9,0.03,0.01,107.11,133.0,133.0,133.43,0.53,0.49,1.548,0.0,0.5,0.0,,,,,0.06
0.1,2.1,1.76,1.76,25.88,0.05,0.03,107.13,133.0,133.0,133.43,0.58,0.49,1.057,0.001,0.56,0.02,1.199,0.403,1.265,,0.09
0.15000000000000002,2.19,1.77,1.76,25.85,0.08,0.04,107.16,133.0,133.0,133.43,0.61,0.49,0.484,0.003,0.6,0.02,0.8,-0.006,0.8,-9.312,0.11
0.2,2.21,1.77,1.77,25.82,0.11,0.06,107.19,133.0,133.0,133.43,0.61,0.49,0.102,0.006,0.62,0.02,0.4,0.006,0.4,-7.995,0.11
0.25,2.18,1.78,1.77,25.79,0.14,0.07,107.22,133.01,133.01,133.43,0.61,0.49,-0.138,0.01,0.6,0.04,-0.4,0.397,0.563,3.268,0.1
0.30000000000000004,1.87,1.79,1.77,25.77,0.17,0.09,107.25,133.01,133.01,133.43,0.52,0.49,-1.744,0.016,0.56,0.02,-0.8,-0.403,0.895,6.642,0.05
0.35000000000000003,1.59,1.8,1.77,25.75,0.2,0.1,107.28,133.01,133.02,133.43,0.44,0.49,-1.526,0.023,0.46,0.02,-1.999,0.006,1.999,22.072,0.02
0.4,1.31,1.82,1.78,25.73,0.22,0.12,107.29,133.01,133.02,133.43,0.36,0.49,-1.576,0.031,0.4,0.02,-1.202,-0.006,1.202,-15.93,0.0
0.45,1.39,1.85,1.79,25.72,0.23,0.14,107.31,133.01,133.03,133.43,0.39,0.5,0.479,0.04,0.38,0.0,-0.397,-0.397,0.561,-12.827,0.0
0.5,1.54,1.89,1.8,25.71,0.25,0.15,107.33,133.01,133.04,133.43,0.43,0.5,0.786,0.068,0.4,0.02,0.397,0.403,0.565,0.087,0.01
0.55,1.87,1.93,1.82,25.7,0.28,0.17,107.36,133.01,133.05,133.43,0.52,0.5,1.849,0.091,0.48,0.02,1.602,-0.006,1.602,20.736,0.05
0.6000000000000001,2.2,1.98,1.84,25.68,0.31,0.19,107.39,133.01,133.06,133.43,0.61,0.51,1.868,0.118,0.58,0.04,1.999,0.403,2.039,8.738,0.1
0.65,2.55,2.03,1.86,25.66,0.34,0.21,107.42,133.01,133.08,133.43,0.71,0.52,1.943,0.148,0.66,0.02,1.599,-0.397,1.648,-7.83,0.16
