Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,RSS Safety Distance (m)
5.0,9.21,2.558,12.46,3.222,11.6,0.889,0.833,0.0,4.74,7.91,28.56,4.09,,0.0
5.05,9.37,2.603,12.18,3.261,11.74,0.889,0.778,0.0,4.87,8.08,28.6,,,0.0
5.1,9.52,2.644,12.76,3.303,11.89,0.833,0.833,0.0,5.0,8.26,28.64,,,0.0
5.15,9.66,2.683,12.48,3.342,12.03,0.778,0.778,0.0,5.13,8.43,28.68,,,0.0
5.2,9.8,2.722,13.05,3.383,12.18,0.778,0.833,0.0,5.27,8.61,28.73,,,0.0
5.25,9.93,2.758,12.78,3.422,12.32,0.722,0.778,0.0,5.41,8.79,28.77,,,0.0
5.3,10.06,2.794,13.34,3.464,12.47,0.722,0.833,0.0,5.55,8.98,28.82,,,0.0
5.35,10.19,2.831,13.07,3.506,12.62,0.722,0.833,0.0,5.69,9.16,28.86,,,0.0
5.4,10.33,2.869,13.62,3.544,12.76,0.778,0.778,0.0,5.83,9.35,28.9,,,0.0
5.45,10.47,2.908,13.36,3.586,12.91,0.778,0.833,0.0,5.97,9.53,28.94,,,0.0
5.5,10.62,2.95,13.91,3.625,13.05,0.833,0.778,0.0,6.12,9.73,28.99,,,0.0
5.55,10.77,2.992,13.65,3.667,13.2,0.833,0.833,0.0,6.27,9.92,29.03,,,0.0
5.6,10.93,3.036,14.2,3.708,13.35,0.889,0.833,0.0,6.42,10.11,29.08,,,0.031632999999999356
5.65,11.08,3.078,13.95,3.747,13.49,0.833,0.778,0.0,6.57,10.31,29.12,,,0.0631959999999987
5.7,11.23,3.119,14.49,3.789,13.64,0.833,0.833,0.0,6.73,10.51,29.17,,,0.08481250000000085
5.75,11.36,3.156,14.24,3.828,13.78,0.722,0.778,0.0,6.89,10.71,29.21,,,0.10195300000000085
